hash,gasPrice,gasUsed,calls,unknownCalls,classifiedCalls,classifiedActions,compactedProviders,type,status,profit
0x2f85ce5bb5f7833e052897fa4a070615a4e21a247e1ccc2347a3882f0e73943d,67,39,5,0,5,3,"UNISWAP(2),KNOWN_BOT",ARBITRAGE,CHECKED,0
0xe43734199366c665e341675e0f6ea280745d7d801924815b2c642dc83c8756d6,67,41,5,0,5,3,"UNISWAP(2),KNOWN_BOT",ARBITRAGE,CHECKED,0
0x84d521006182440b0000c24cf3fbede8dbcf3a5b58495c9e02b26e78d3ae1202,67,30,1,1,0,0,,,,0
0xe3bae9e2a9414c7092caeee499bf428103981f9868e6ddeb10f7bc2f343a936f,66,104,8,3,5,2,UNISWAP(2),,,0
0x828341ec205074147645a52e89e4e0431f96c606bf856883cb06d21912518443,66,28,2,0,2,1,UNISWAP,,,0
0xaa15b58f7d108f4dbc4b1f9c7598ec03d34b28c1129b81d634c687e6a6d97c5c,66,21,1,1,0,0,,,,0
0x8c8e44a0707dbad5eb8d108479f0b662e9ec0939bca8957d7c6284ca843852ab,66,45,1,1,0,0,,,,0
0x2085581881aed511eaa0e46de73e121fa6e0dd1866162900dd970715d827eb26,66,164,8,0,8,1,UNISWAP,,,0
0x77403a6eb1e9ebf7bf4110aa25d471551aa7580ad65d93c335c6abfebe7e84fa,66,207,22,0,22,1,UNISWAP,,,0
0x0ae84b973cd56e00ffcb8a101a547ccd65d79ed3617248f18605dca5ae3b4fcd,66,21,1,1,0,0,,,,0
0x0ab927f9e8e15eaac4a43e4c1302c8e89f4ffa68055a214e73d7e547382db083,66,34,3,0,3,1,UNISWAP,,,0
0x9cb610b65802be9bcd8f10f8c9ba85a02c0c796b8f0c11ccb4c309478c120f29,66,28,2,0,2,1,UNISWAP,,,0
0x41959e1954b5681eedfc2203e405eebfa597e59d4a6fe6d01b183e7d109086db,66,21,1,1,0,0,,,,0
0xcdaf941f3a26eed85dc12bf1ba96cffe8106a4e665e3ca7257a66104b659cba9,66,133,10,9,1,1,UNISWAP,,,0
0xb05e364c3b539b038f6b94b66256c29825bfa1227ea8507710ceb27266223647,66,34,3,0,3,1,UNISWAP,,,0
0x6da4c285965b21789fd8d16d35c34c0fb267456bba6898cdcb82873290a9f431,66,40,1,1,0,0,,,,0
0xb82a928ddd942e26b8c7d1a70a9c78e258f0f72dddb180dffd724e746d9205fd,66,45,1,1,0,0,,,,0
0xb56e0a391e7952f96ca2b6799551a296626012ed6a5f324e69e72336dbbe5c35,65.9999,29,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x119708a208d8980aca073fe0cc1555c52432ec58225b1bf1326ab2fefbb2e872,65.9999,95,10,5,5,2,UNISWAP(2),,,0
0xb72946a1da900d53a1d962a985ce1883c598916e4dc1f5843da77300479a401b,65.6755,35,5,5,0,0,,,,0
0x75e78a9db46a990ef015da3cc978d02c58adf4d66e376a63dd89afdecfea4c8d,65,44,1,1,0,0,,,,0
0xedf1e014985709d2f922b65f8db1efcf4d8de6acaeebe2f6286e41f1698a4a86,65,44,1,1,0,0,,,,0
0x7e518e98ad971abe10b30e4904e7de19b2550060cca05dfbfb78298613150ebf,65,21,1,1,0,0,,,,0
0x06510240fcc8a2350ae544d47f8cd8720b45bdf6cedc7635c63a593a78eaab99,65,21,1,1,0,0,,,,0
0xc64b50209af2a47a04bf12d3a0a30e804b612d380c51942efdad775d60a78b41,65,21,1,1,0,0,,,,0
0x375b5a232aa2ddcf04b95d9c38cacf305c1d1eaacfc39ae35aa7d349dc02fb95,64.9,189,14,0,14,1,UNISWAP,,,0
0x367684ca6ac638182ded517cbd3e8fbdf641b69948d9859ca364a2f033a02168,64,56,1,1,0,0,,,,0
0x589fcd48c6da1d90794d369a4c5246b238ed558717547fd92038f300391ac223,64,117,9,0,9,1,UNISWAP,,,0
0x68e70557983453a618c61df97bc63c6c487fe28f38718712b5cd7fe2a70bcf9d,62,39,1,1,0,0,,,,0
0x1b874a656e6fcd6b7b03bc00cc53bfbab3eba813a768df5e1c0281bc0c18ed8a,62,106,1,1,0,0,,,,0
0xbcdc993b7224aa89f370b5fb83fdd3d247aef2b7ceabe1957a48672ff445bec8,62,102,1,1,0,0,,,,0
0xf7fb3b8b1bc6cc868818e5b60a23a5bd590410c115f681797aa595b42bc01c44,62,107,1,1,0,0,,,,0
0xa4196c40463b531f4026c7095e89b9682a2ff75577fb8355a7da149ad09407ee,62,82,1,1,0,0,,,,0
0xe205edfd7d73002dad37681198bbab26ae78c4f7f6e74ec6942aaf7925d82419,62,21,1,1,0,0,,,,0
0x21f330b3d5bbbb01a21b3d0a509c6060cd03704af0e3b621638496f6003cc939,62,71,1,1,0,0,,,,0
0x077402bd0bbd0309ec8489fd55707472394f5808707a4e7b65cfb8f5f6d19f85,62,107,9,0,9,1,UNISWAP,,,0
0xa95761e74f25c6e35f00d8dcfe97d72151347f19c537a233f8909819499df3f6,62,40,1,1,0,0,,,,0
0x3c8139e5d414ba7f708853b3646d2b7032e5a665621a7fd0aa21c316015342cf,62,21,1,1,0,0,,,,0
0xdac54c7a805bc8a92cd0527e57facfd54f45f2b7a898da782151c91aacfe3b18,62,37,1,1,0,0,,,,0
0x00df604a0735bb000ba48c809e4b583e1204d7a99ecc00cca58e568b8431467f,62,21,1,1,0,0,,,,0
0x0616397ec16937d80b942d82bb7d05f68ff24971c14bfd55a862520126ad1062,61.6,21,1,1,0,0,,,,0
0x911b15ea0cfe053a6aad9c8c79100682063ae5b136a239cf374aa2c94ae7190e,61,40,2,2,0,0,,,,0
0x857df0b5f750c23661c92661a1171f0f1ee1ed39db68ef05aacf84198e8610f9,61,41,1,1,0,0,,,,0
0x6c26847d8ed45b3f075bb5a74baabea69baa8dacc95e82e3b43756202e354ca9,61,21,1,1,0,0,,,,0
0xd4403a9871759bd74c5342a90cf7ade39afa022dd0e71868e46fc5f918d2732a,61,21,1,1,0,0,,,,0
